TABLE,FIELD,LOOKUP,ID,PAYLOAD
MainRecordingTable,species,LSpecies,species,common.name
MainRecordingTable,element,LElement,element,element.output
MainRecordingTable,side,LSide,abbreviation,side
MainRecordingTable,proxfus,LFusion,abbreviation,fusion
MainRecordingTable,distfus,LFusion,abbreviation,fusion
MainRecordingTable,age,LAge,abbreviation,age
MainRecordingTable,modifications,LMod,abbreviation,keyword
MainRecordingTable,admin,LAdmin,abbreviation,keyword
MainRecordingTable,percent,LPercentCompleteness,abbreviation,completeness
MainRecordingTable,texture,LTexture,abbreviation,definition
MainRecordingTable,size,LFishSize,abbreviation,size
MainRecordingTable,burning,LBurning,abbreviation,burning
MainRecordingTable,recovery,LRecovery,abbreviation,recovery
Butchery,butchtype,LButchery,abbreviation,butchery
Butchery,area,LButcheryLocation,abbreviation,definition
Pathologies,pathtype,LPathologies,abbv,pathology.or.non.metric.trait
Mandible,incisor,LTeeth,abbreviation,stage
Mandible,canine,LTeeth,abbreviation,stage
Mandible,dp4,LTeeth,abbreviation,stage
Mandible,p4,LTeeth,abbreviation,stage
Mandible,m1,LTeeth,abbreviation,stage
Mandible,m2,LTeeth,abbreviation,stage
Mandible,m1.m2,LTeeth,abbreviation,stage
Mandible,m3,LTeeth,abbreviation,stage
Mandible,tpoc.genage,LAge,abbreviation,age
Mandible,spgenage,LAge,abbreviation,age
PreservationByContext,preservation,LPreservation,abbreviation,preservation
PreservationByContext,angularity,LAngularity,abbreviation,angularity
PreservationByContext,colour,LColour,abbreviation,colour
PreservationByContext,recovery,LRecovery,abbreviation,recovery
